mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Broadway,place-brdwy,9158,16294,48,191,339,3340,1061
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Central,place-cntsq,35469,14654,48,739,305,2936,1062
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Charles/MGH,place-chmnl,29767,16970,48,620,354,4011,1063
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Davis,place-davis,19797,1597,48,412,33,790,1064
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Downtown Crossing,place-dwnxg,70525,47980,48,1469,1000,4485,1065
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Fields Corner,place-fldcr,4542,18011,48,95,375,834,1066
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Harvard,place-harsq,75447,9301,48,1572,194,2503,1067
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_07,EVENING,Shawmut,place-smmnl,2677,674,48,56,14,446,1068
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_07,EVENING,South Station,place-sstat,57232,13913,48,1192,290,2764,1069
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_07,EVENING,Wollaston,place-wlsta,6383,2409,48,133,50,582,1070
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Alewife,place-alfcl,0,15260,48,0,318,0,1071
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Andrew,place-andrw,3771,1790,48,79,37,400,1072
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Ashmont,place-asmnl,5813,0,48,121,0,121,1073
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Braintree,place-brntn,1753,0,48,37,0,37,1074
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Broadway,place-brdwy,5091,863,48,106,18,506,1075
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Central,place-cntsq,6542,12675,48,136,264,1063,1076
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Charles/MGH,place-chmnl,6592,2978,48,137,62,1223,1077
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Davis,place-davis,616,15554,48,13,324,298,1078
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Downtown Crossing,place-dwnxg,11113,12487,48,232,260,727,1079
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Fields Corner,place-fldcr,2163,1444,48,45,30,159,1080
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Harvard,place-harsq,5849,18125,48,122,378,832,1081
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,JFK/UMass,place-jfk,2851,4155,48,59,87,351,1082
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Kendall/MIT,place-knncl,4865,8674,48,101,181,1156,1083
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,North Quincy,place-nqncy,1633,840,48,34,17,192,1084
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Park Street,place-pktrm,28577,11571,48,595,241,1089,1085
Heavy Rail,Fall 2023,Red,Red Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Porter,place-portr,715,11975,48,15,249,607,1086
